"ProcessName","Id","Path"
"SearchIndexer","16188","C:\WINDOWS\system32\SearchIndexer.exe"
"SearchProtocolHost","3132","C:\WINDOWS\System32\SearchProtocolHost.exe"
"Secure System","168",
"SecurityHealthService","13036",
"SecurityHealthSystray","5228","C:\Windows\System32\SecurityHealthSystray.exe"
"service","21252","C:\Program Files\NZXT CAM\resources\app.asar.unpacked\node_modules\@nzxt\rust-cam\dist\target\x86_64-pc-windows-msvc\release\service.exe"
"services","968",
"SgrmBroker","25160",
"ShellExperienceHost","21808","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sherpa_service","5472","C:\Program Files\Blue Sherpa\sherpa_service.exe"
"sihost","2528","C:\WINDOWS\system32\sihost.exe"
"smss","760",
"som_nl","34560","C:\Users\trini\AppData\Local\InstructureMedia-v2\som_nl.exe"
"spoolsv","4436","C:\WINDOWS\System32\spoolsv.exe"
"StartMenuExperienceHost","26300","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"steam","8860","C:\Program Files (x86)\Steam\Steam.exe"
"steamservice","488","C:\Program Files (x86)\Common Files\Steam\steamservice.exe"
"steamwebhelper","2672","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","6628","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","17640","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","18200","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","23532","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","27896","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"steamwebhelper","29860","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe"
"svchost","952",
"svchost","1176","C:\WINDOWS\system32\svchost.exe"
